"osm_id","fclass","name","source_layer","footfall_domingo","footfall_lunes","footfall_martes","footfall_miercoles","footfall_jueves","footfall_viernes","footfall_sabado","footfall_manana_weekend","footfall_tarde_weekend","footfall_noche_weekend","footfall_madrugada_weekend","footfall_manana_semana","footfall_tarde_semana","footfall_noche_semana","footfall_madrugada_semana","avg_dwell","max_dwell","min_dwell","repeat_visit_rate_daily","peak_hour_weekday","peak_visits_weekday","peak_hour_weekend","peak_visits_weekend","total_devices","horas_con_movimiento_semana","horas_con_movimiento_finsemana"
"1080161608","building","Pollo Campero","gis_osm_buildings_a_free_1","2.0","6.0","10.0","5.0","6.0","4.0","10.0","3.0","5.0","4.0","0.0","12.0","9.0","10.0","0.0","0.0","0","0","1.23","8","5","13","4","35","15","8"
"378574237","building","Pollo Campero","gis_osm_buildings_a_free_1","8.0","10.0","0.0","3.0","7.0","9.0","8.0","4.0","7.0","5.0","0.0","10.0","13.0","6.0","1.0","1265.0","4281","103","1.1","10","4","14","3","41","16","11"
"399322061","building","Parada SITRAMSS Reloj de Flores","gis_osm_buildings_a_free_1","2.0","6.0","1.0","6.0","8.0","10.0","9.0","3.0","4.0","4.0","0.0","14.0","3.0","13.0","1.0","0.0","0","0","1.05","18","6","18","3","40","13","8"
"313947567","residential","Colonia Santa Monica","gis_osm_landuse_a_free_1","5.0","6.0","4.0","5.0","3.0","6.0","6.0","6.0","3.0","4.0","2.0","13.0","10.0","15.0","7.0","6430.0","42703","350","5.83","15","3","6","3","6","24","22"
"7165130","hotel","The Last Resort","gis_osm_pois_a_free_1","5.0","1.0","1.0","2.0","4.0","3.0","2.0","4.0","6.0","2.0","1.0","5.0","9.0","6.0","1.0","12569.0","74940","637","2.0","14","3","12","4","9","16","16"
"396076159","fuel","Texaco","gis_osm_traffic_a_free_1","4.0","7.0","2.0","4.0","16.0","8.0","8.0","6.0","6.0","1.0","0.0","8.0","19.0","10.0","0.0","354.0","1222","61","1.17","13","5","9","3","42","14","8"
"293943828","building","Boca Del Lobo","gis_osm_buildings_a_free_1","5.0","3.0","7.0","4.0","3.0","5.0","10.0","1.0","13.0","2.0","0.0","4.0","13.0","6.0","0.0","1891.0","5133","92","1.03","14","4","14","6","36","15","6"
"286460272","industrial","Acajutla Thermal Power Plant","gis_osm_landuse_a_free_1","3.0","10.0","11.0","3.0","3.0","10.0","7.0","5.0","4.0","3.0","3.0","16.0","14.0","10.0","7.0","3954.0","20403","60","2.47","18","5","13","3","19","24","11"
"461600487","building","El Desierto","gis_osm_buildings_a_free_1","1.0","5.0","4.0","7.0","3.0","10.0","6.0","4.0","3.0","1.0","0.0","6.0","5.0","18.0","1.0","7451.0","14602","625","1.29","19","10","16","2","28","15","9"
"401063602","building","Estado Mayor General del Ejercito","gis_osm_buildings_a_free_1","1.0","6.0","5.0","8.0","7.0","5.0","4.0","2.0","3.0","0.0","0.0","12.0","12.0","9.0","3.0","37953.0","77131","1277","1.2","15","6","14","2","30","21","4"
